event_type,sub_event_type,month,day,event_date,year,actor1,assoc_actor_1,actor2,assoc_actor_2,city,state,fatalities,source,source_scale,major_media,notes,tags
STRATEGIC DEVELOPMENTS,LOOTING/PROPERTY DESTRUCTION,4,8,2024-04-08,2024,SOLE PERPETRATOR (UNITED STATES),,CIVILIANS (UNITED STATES),JEWISH GROUP (UNITED STATES),PORTSMOUTH,NEW HAMPSHIRE,0,NEW HAMPSHIRE PUBLIC RADIO; PORTSMOUTH HERALD; WMUR ABC9,SUBNATIONAL,NO,"PROPERTY DESTRUCTION: ON 8 APRIL 2024, A PERSON APPROACHED TEMPLE ISRAEL, TOOK OUT A HAMMER, AND SMASHED TWO GLASS LAMPS WITH THE STAR OF DAVID IN PORTSMOUTH (NEW HAMPSHIRE).",
STRATEGIC DEVELOPMENTS,LOOTING/PROPERTY DESTRUCTION,4,4,2024-04-04,2024,UNIDENTIFIED ARMED GROUP (UNITED STATES),,CIVILIANS (UNITED STATES),,NEW YORK - MANHATTAN,NEW YORK,0,FNTV; PROTEST_NYC,SUBNATIONAL,NO,"PROPERTY DESTRUCTION: ON 4 APRIL 2024, UNKNOWN INDIVIDUALS SMASHED AND COVERED OMNY READERS IN SUBWAY STATIONS IN NEW YORK - MANHATTAN (NEW YORK). THEY THEN POSTED A STATEMENT ONLINE CLAIMING THAT THE DESTRUCTION HAD BEEN CARRIED OUT TO OPPOSE THE PRESENCE OF THE NYPD AND NATIONAL GUARD ON THE METRO, AS WELL AS THE USE OF SURVEILLANCE.",
STRATEGIC DEVELOPMENTS,LOOTING/PROPERTY DESTRUCTION,3,31,2024-03-31,2024,SOLE PERPETRATOR (UNITED STATES),,CIVILIANS (UNITED STATES),MORMON CHRISTIAN GROUP (UNITED STATES),NEW YORK - BROOKLYN,NEW YORK,0,NEW YORK POLICE DEPARTMENT,OTHER,NO,"PROPERTY DESTRUCTION: ON 31 MARCH 2024, A MAN DAMAGED THE GLASS WINDOW OF THE CHURCH OF JESUS CHRIST OF LATTER-DAY SAINTS AT 828 60 STREET IN NEW YORK - BROOKLYN (NEW YORK) USING A HAMMER. THE INCIDENT WAS INVESTIGATED AS A HATE CRIME.",
STRATEGIC DEVELOPMENTS,LOOTING/PROPERTY DESTRUCTION,3,28,2024-03-28,2024,SOLE PERPETRATOR (UNITED STATES),,CIVILIANS (UNITED STATES),LABOR GROUP (UNITED STATES),SEATTLE,WASHINGTON,0,TWITTER,NEW MEDIA,NO,"PROPERTY DESTRUCTION: ON 28 MARCH 2024, AN UNKNOWN PERSON OR PERSONS GRAFFITIED A STARBUCKS IN SEATTLE (WASHINGTON) AND SMASHED AT LEAST ONE WINDOW DUE TO THE COMPANY'S OPERATION IN ISRAEL. THE PHRASE 'FREE GAZA' WAS SPRAY PAINTED ON THE BUILDING MULTIPLE TIMES. THE PROPERTY DESTRUCTION TOOK PLACE AMID THE ISRAEL-HAMAS WAR WHICH BEGAN IN OCTOBER 2023.",
STRATEGIC DEVELOPMENTS,LOOTING/PROPERTY DESTRUCTION,3,20,2024-03-20,2024,SOLE PERPETRATOR (UNITED STATES),,CIVILIANS (UNITED STATES),,NEWTON,MASSACHUSETTS,0,WCVB CHANNEL 5; WHDH CHANNEL 7,SUBNATIONAL,NO,"PROPERTY DESTRUCTION: ON 20 MARCH 2024, AN UNKNOWN INDIVIDUAL THREW A ROCK THROUGH A LIVING ROOM WINDOW DISPLAYING 'STAND WITH ISRAEL' SIGN OF A HOUSE IN NEWTON (MASSACHUSETTS) AMID THE ISRAEL-HAMAS WAR WHICH BEGAN IN OCTOBER 2023.",
STRATEGIC DEVELOPMENTS,LOOTING/PROPERTY DESTRUCTION,3,17,2024-03-17,2024,SOLE PERPETRATOR (UNITED STATES),,CIVILIANS (UNITED STATES),MUSLIM GROUP (UNITED STATES),CHICAGO - CENTRAL,ILLINOIS,0,ABC7 CHICAGO,SUBNATIONAL,NO,"PROPERTY DESTRUCTION: ON 17 MARCH 2024, AN UNIDENTIFIED MAN MADE THREATS AND YELLED 'ALL MUSLIMS DESERVE TO DIE' TO PEOPLE ENTERING THE DOWNTOWN ISLAMIC CENTER IN CHICAGO - CENTRAL (ILLINOIS) AND BROKE THE DOOR TO THE CENTER. HE BRIEFLY LEFT AFTER MAKING VERBAL THREATS BEFORE RETURNING AND THROWING AN OBJECT AT THE GLASS DOOR, SHATTERING IT. THERE WERE NO INJURIES.",
STRATEGIC DEVELOPMENTS,LOOTING/PROPERTY DESTRUCTION,3,16,2024-03-16,2024,SOLE PERPETRATOR (UNITED STATES),,CIVILIANS (UNITED STATES),,MILWAUKEE,WISCONSIN,0,WISN12,SUBNATIONAL,NO,"PROPERTY DESTRUCTION: ON 16 MARCH 2024, TWO UNIDENTIFIED INDIVIDUALS THREW AN OBJECT THROUGH A WINDOW, BREAKING IT, AND SPRAY PAINTED PRO-PALESTINIAN GRAFFITI ON THE OUTSIDE OF THE GOLDA MEIR LIBRARY ON THE CAMPUS OF UNIVERSITY OF WISCONSIN-MILWAUKEE IN MILWAUKEE (WISCONSIN). THE SPRAY-PAINTED MESSAGE SAID 'FREE PALESTINE' AND FOLLOWS SEVERAL OTHER PRO-PALESTINIAN DEMONSTRATIONS AND DEMANDS TO RENAME THE LIBRARY AMID THE ISRAEL-HAMAS WAR WHICH BEGAN IN OCTOBER 2023.",
STRATEGIC DEVELOPMENTS,LOOTING/PROPERTY DESTRUCTION,3,12,2024-03-12,2024,SOLE PERPETRATOR (UNITED STATES),,CIVILIANS (UNITED STATES),,NEWTON,MASSACHUSETTS,0,BOSTON GLOBE,SUBNATIONAL,NO,"PROPERTY DESTRUCTION: ON 12 MARCH 2024, AN UNKNOWN INDIVIDUAL THREW A ROCK THROUGH A SIDE WINDOW OF A HOUSE ON HILLSIDE ROAD IN NEWTON (MASSACHUSETTS). A SIGN READING 'BOSTON STRONG, ISRAEL STRONG' WAS DISPLAYED IN THE WINDOW. THE INCIDENT HAPPENED AMID THE ISRAEL-HAMAS WAR WHICH BEGAN IN OCTOBER 2023.",
RIOTS,VIOLENT DEMONSTRATION,3,11,2024-03-11,2024,RIOTERS (UNITED STATES),,CIVILIANS (UNITED STATES),JEWISH GROUP (UNITED STATES),CHICAGO - NORTH SIDE,ILLINOIS,0,ABC7 CHICAGO; ANTI-DEFAMATION LEAGUE,SUBNATIONAL-NATIONAL,NO,"ON 11 MARCH 2024, DOZENS OF PRO-PALESTINIAN DEMONSTRATORS GATHERED OUTSIDE OF A THEATER IN LOGAN SQUARE FOR A SCREENING OF 'NOVA,' A DOCUMENTARY ABOUT A HAMAS ATTACK AT THE NOVA MUSIC FESTIVAL IN 2023, IN CHICAGO - NORTH SIDE (ILLINOIS) TO DEMONSTRATE AGAINST THE FILM AND ISRAELI 'GENOCIDE.' DEMONSTRATORS ALSO YELLED 'SHAME ON YOU' AT THE ATTENDEES. ACCORDING TO ONE JEWISH MAN WHO ATTENDED THE SCREENING, AROUND 6-TO 7 DEMONSTRATORS ATTACKED HIM WHEN THEY SAW HIM HOLDING A SMALL ISRAELI FLAG, PUSHED HIM AGAINST A PARKED CAR, AND PUNCHED HIM. NO ARRESTS WERE MADE, AND NO PHOTOS OR VIDEO OF THIS INCIDENT WERE IMMEDIATELY AVAILABLE. THIS DEMONSTRATION AND ATTACK TOOK PLACE AMID THE ISRAEL-HAMAS WAR WHICH BEGAN IN OCTOBER 2023.",CROWD SIZE=DOZENS
RIOTS,VIOLENT DEMONSTRATION,3,2,2024-03-02,2024,RIOTERS (UNITED STATES),ARAB ETHNIC GROUP (UNITED STATES); AROC: ARAB RESOURCE AND ORGANIZING CENTER; JEWISH GROUP (UNITED STATES); MUSLIM GROUP (UNITED STATES); PALESTINIAN GROUP (UNITED STATES); PYM: PALESTINIAN YOUTH MOVEMENT,POLICE FORCES OF THE UNITED STATES (2021-2025),,SAN FRANCISCO,CALIFORNIA,0,ABC7 (SAN FRANCISCO); INDYBAY; KRON4; LEFT COAST RIGHT WATCH,SUBNATIONAL-NATIONAL,NO,"ON 2 MARCH 2024, HUNDREDS TO THOUSANDS OF PRO-PALESTINIAN DEMONSTRATORS MARCHED TO THE ISRAELI CONSULATE ON MONTGOMERY STREET IN SAN FRANCISCO (CALIFORNIA) TO SHOW SUPPORT FOR PALESTINE AND DEMAND A CEASEFIRE IN GAZA AND AN END TO U.S. SUPPORT FOR ISRAEL AMID THE ISRAEL-HAMAS WAR WHICH BEGAN IN OCTOBER 2023. THE MARCH WAS JOINED BY MUSLIMS, JEWS, THE ARAB RESOURCE AND ORGANIZING CENTER (AROC), AND THE PALESTINIAN YOUTH MOVEMENT (PYM). AT THE POLICE BARRICADE IN FRONT OF THE CONSULATE, POLICE CLAIMED DEMONSTRATORS ENGAGED IN ASSAULT, FELONY VANDALISM, AND PROPERTY DAMAGE, WHILE DEMONSTRATORS CLAIMED POLICE ATTACKED THEM WITH PEPPER SPRAY AND BATONS. VIDEO OF THE DEMONSTRATION APPEARED TO SHOW POLICE PEPPER SPRAYING DEMONSTRATORS AT A DISTANCE AND STRIKING THEM WITH BATONS OVER A POLICE BARRICADE.",CROWD SIZE=HUNDREDS TO THOUSANDS
RIOTS,VIOLENT DEMONSTRATION,2,26,2024-02-26,2024,RIOTERS (UNITED STATES),STUDENTS (UNITED STATES),,,BERKELEY,CALIFORNIA,0,BERKELEYSIDE; IT'S GOING DOWN; KQED; SAN FRANCISCO CHRONICLE,OTHER-SUBNATIONAL,NO,"ON 26 FEBRUARY 2024, ABOUT 200 PRO-PALESTINIAN STUDENTS AND SUPPORTERS CHANTING 'LONG LIVE THE INTIFADA' DEMONSTRATED OUTSIDE ZELLERBACH PLAYHOUSE AT THE UNIVERSITY OF CALIFORNIA IN BERKELEY (CALIFORNIA) TO DEMAND AN END TO THE 'OCCUPATION' OF PALESTINE AND TO SHUT DOWN A SPEECH INSIDE BY AN ISRAELI LAWYER AMID THE ISRAEL-HAMAS WAR WHICH BEGAN IN OCTOBER 2023. THE DEMONSTRATION WAS ORGANIZED BY BEARS FOR PALESTINE. THE DEMONSTRATORS BROKE DOWN THE DOOR TO THE BUILDING, BROKE WINDOWS, AND ALLEGEDLY HARASSED SEVERAL JEWISH ATTENDEES WITH ANTISEMITIC SLURS.",CROWD SIZE=ABOUT 200
RIOTS,VIOLENT DEMONSTRATION,2,25,2024-02-25,2024,RIOTERS (UNITED STATES),,POLICE FORCES OF THE UNITED STATES (2021-2025),,TUCSON,ARIZONA,0,IT'S GOING DOWN; UNICORN RIOT,OTHER-NATIONAL,NO,"ON 25 FEBRUARY 2024, DEMONSTRATORS MARCHED IN TUCSON (ARIZONA) IN SOLIDARITY WITH 'STOP COP CITY,' A MOVEMENT AGAINST THE CONSTRUCTION OF A POLICE TRAINING FACILITY, WHICH HAS BEEN DUBBED 'COP CITY' BY DEMONSTRATORS, IN THE WEELAUNEE FOREST (AKA ATLANTA FOREST). DEMONSTRATORS CITED ENVIRONMENTAL CONCERNS. DURING THE MARCH, DEMONSTRATORS SMASHED THE WINDOWS OF A WELLS FARGO BANK AND A PNC BANK. POLICE PHYSICALLY DETAINED AT LEAST ONE DEMONSTRATOR.",CROWD SIZE=NO REPORT
RIOTS,VIOLENT DEMONSTRATION,2,21,2024-02-21,2024,RIOTERS (UNITED STATES),,RIOTERS (UNITED STATES),,OAKLAND,CALIFORNIA,0,ABC7 (SAN FRANCISCO); SAN FRANCISCO CHRONICLE,SUBNATIONAL,NO,"ON 21 FEBRUARY 2024, ABOUT A DOZEN DEMONSTRATORS RALLIED AT A NEWS CONFERENCE BY MAYOR SHENG THAO AT LATHAM SQUARE IN OAKLAND (CALIFORNIA) TO DEMAND THE MAYOR'S RECALL. SOME OF THE DEMONSTRATORS DISRUPTED THE NEWS CONFERENCE AND PHYSICALLY FOUGHT WITH TAO'S SUPPORTERS WHO WERE PRESENT FOR THE CONFERENCE, WITH PUNCHES THROWN BY BOTH GROUPS.",CROWD SIZE=ABOUT A DOZEN
RIOTS,VIOLENT DEMONSTRATION,2,18,2024-02-18,2024,RIOTERS (UNITED STATES),,POLICE FORCES OF THE UNITED STATES (2021-2025),,MILWAUKEE,WISCONSIN,0,MILWAUKEE JOURNAL SENTINEL; WISN12,SUBNATIONAL,NO,"ON 18 FEBRUARY 2024, ABOUT 20 PRO-PALESTINIAN DEMONSTRATORS INTERRUPTED A CAMPAIGN EVENT FOR SEN. TAMMY BALDWIN IN MILWAUKEE (WISCONSIN) AND CRITICIZED HER AND OTHER LOCAL LEADERS' PRO-ISRAELI POLICIES AMID THE ISRAEL-HAMAS WAR WHICH BEGAN IN OCTOBER 2023. ONE DEMONSTRATOR PUNCHED A POLICE OFFICER WHILE THEY WERE ATTEMPTING TO REMOVE THE CROWD. THERE WERE NO OTHER INJURIES AND NO ARRESTS.",CROWD SIZE=ABOUT 20
RIOTS,VIOLENT DEMONSTRATION,2,17,2024-02-17,2024,RIOTERS (UNITED STATES),AFRICAN AMERICAN GROUP (UNITED STATES),POLICE FORCES OF THE UNITED STATES (2021-2025),,NEW YORK - MANHATTAN,NEW YORK,0,AM NEW YORK,SUBNATIONAL,NO,"ON 17 FEBRUARY 2024, DEMONSTRATORS AND MEMBERS OF THE BLACK KINGS NYC MARCHED FROM THE BARCLAYS CENTER TO NEW YORK - MANHATTAN (NEW YORK) TO DEMONSTRATE AGAINST 'POLICE CORRUPTION' AND TO CALL FOR SEVERAL NYPD CHIEFS TO BE DISMISSED DUE TO WHAT THEY CLAIM IS MISCONDUCT. 25 RIOTERS MARCHED IN HAMILTON HEIGHTS AND WHEN A POLICE OFFICER ATTEMPTED TO DISPERSE THEM, A PERSON ATTACKED HIM AND HIT HIM IN THE HEAD WITH A GLOW STICK-LIKE OBJECT. THE OFFICER WAS TAKEN TO A LOCAL HOSPITAL AND NEEDED TWO STAPLES TO THE HEAD WOUND. THREE PEOPLE WERE TAKEN INTO CUSTODY AND ONE OF THEM WAS CHARGED WITH RESISTING ARREST AND OBSTRUCTING GOVERNMENTAL ADMINISTRATION.",CROWD SIZE=25
RIOTS,VIOLENT DEMONSTRATION,2,17,2024-02-17,2024,RIOTERS (UNITED STATES),ERITREAN GROUP (UNITED STATES),POLICE FORCES OF THE UNITED STATES (2021-2025),,CHARLOTTE,NORTH CAROLINA,0,CHANNEL 9 (CHARLOTTE); CHARLOTTE OBSERVER; FOX NEWS; HERALD (ROCK HILL); NEWS & OBSERVER; POST MILLENNIAL; WBTV; WCNC CHARLOTTE,SUBNATIONAL-NATIONAL,YES,"ON 17 FEBRUARY 2024, A GROUP OF UP TO 200 ERITREAN-AMERICANS GATHERED OUTSIDE OF A BUSINESS THAT WAS HOLDING AN ERITREAN CULTURAL EVENT IN CHARLOTTE (NORTH CAROLINA). THE EVENT WAS SUPPORTIVE OF THE ERITREAN GOVERNMENT, WHILE THE DEMONSTRATORS WERE OPPOSED TO ERITREAN PRESIDENT ISAIAS AFWERKI. POLICE RESPONDED TO THE DEMONSTRATION, WHICH WAS DEEMED UNLAWFUL, AND ORDERED DEMONSTRATORS TO DISPERSE, ATTEMPTING TO MOVE DEMONSTRATORS OUT OF THE STREET. DEMONSTRATORS PUSHED BACK AT POLICE AND SOME THREW OBJECTS AT OFFICERS WHO THEN USED PEPPER SPRAY. RIOTERS ALSO SET A TRACTOR ON FIRE. A TOTAL OF 8 PEOPLE WERE ARRESTED ON CHARGES THAT INCLUDE DISORDERLY CONDUCT, FAILURE TO DISPERSE, ASSAULT ON A GOVERNMENT EMPLOYEE, AND CARRYING A CONCEALED WEAPON.",ARMED; CROWD SIZE=UP TO 200
RIOTS,VIOLENT DEMONSTRATION,2,17,2024-02-17,2024,RIOTERS (UNITED STATES),,RIOTERS (UNITED STATES),CIVILIANS (UNITED STATES); POLICE FORCES OF THE UNITED STATES (2021-2025),LOS ANGELES - WESTSIDE,CALIFORNIA,0,CBS NEWS; DEADLINE; NBC4 SOUTHERN CALIFORNIA,SUBNATIONAL-NATIONAL,YES,"ON 17 FEBRUARY 2024, ABOUT 20 DEMONSTRATORS RALLIED AT LA POUBELLE BISTRO AND BAR IN HOLLYWOOD IN LOS ANGELES - WESTSIDE (CALIFORNIA) TO DENOUNCE THE RESTAURANT AS THE SCENE OF A SEXUAL ASSAULT BY ACTOR DANNY MASTERSON. ONE DEMONSTRATOR WAS ARRESTED FOR ALLEGED ASSAULT AGAINST A CUSTOMER, WHILE THREE NON-DEMONSTRATORS WERE ARRESTED FOR ALLEGEDLY USING TEAR GAS AGAINST THE DEMONSTRATORS.",CROWD SIZE=ABOUT 20
RIOTS,VIOLENT DEMONSTRATION,2,5,2024-02-05,2024,RIOTERS (UNITED STATES),,,,OLYMPIA,WASHINGTON,0,IT'S GOING DOWN; OLYMPIAN,OTHER-SUBNATIONAL,NO,"ON 5 FEBRUARY 2024, ABOUT 30 DEMONSTRATORS GATHERED OUTSIDE OF A NEWLY BUILT POLICE STATION IN OLYMPIA (WASHINGTON) TO DEMAND THAT MORE RESOURCES BE SPENT ON HOUSING AND SCHOOLS, RATHER THAN ON THE POLICE. DEMONSTRATORS ALSO CALLED FOR PRISON ABOLITION. DURING THE DEMONSTRATION, DEMONSTRATORS SMASHED THE WINDOW OF AN EXCAVATOR IN A NEARBY PARKING LOT.",CROWD SIZE=30
RIOTS,VIOLENT DEMONSTRATION,2,5,2024-02-05,2024,RIOTERS (UNITED STATES),,,,LACEY,WASHINGTON,0,IT'S GOING DOWN,OTHER,NO,"ON 5 FEBRUARY 2024, A SMALL GROUP OF DEMONSTRATORS GATHERED IN LACEY (WASHINGTON) TO DEMONSTRATE AGAINST A LOCAL POLICE TRAINING FACILITY'S BREAKING GROUND CEREMONY. THIS DEMONSTRATION WAS HELD IN SOLIDARITY WITH THE SIMILAR 'STOP COP CITY,' MOVEMENT, WHICH HAS BEEN ORGANIZED TO DEMONSTRATE AGAINST THE ATLANTA POLICE TRAINING FACILITY, WHICH HAS BEEN DUBBED 'COP CITY' BY DEMONSTRATORS, IN THE WEELAUNEE FOREST (AKA ATLANTA FOREST). DEMONSTRATORS ALSO CHANTED AGAINST THE POLICE, KKK, AND ISRAELI DEFENSE FORCES. ONE DEMONSTRATOR ALSO USED A ROCK TO BREAK THE WINDSHIELD OF AN EXCAVATOR.",CROWD SIZE=SMALL
STRATEGIC DEVELOPMENTS,LOOTING/PROPERTY DESTRUCTION,2,2,2024-02-02,2024,SOLE PERPETRATOR (UNITED STATES),,CIVILIANS (UNITED STATES),PROTESTANT CHRISTIAN GROUP (UNITED STATES),HENDERSONVILLE,TENNESSEE,0,NEWS 2 (NASHVILLE),SUBNATIONAL,NO,"PROPERTY DESTRUCTION: ON 2 FEBRUARY 2024, THE LUNA LANE CHURCH OF CHRIST WAS VANDALIZED IN HENDERSONVILLE (TENNESSEE). THE CHURCH PEWS WERE COVERED WITH FIRE EXTINGUISHING POWDER, TVS WERE SMASHED, AND THE FELLOWSHIP HALL HAD WATER AND SHATTERED GLASS ON THE FLOOR.",
STRATEGIC DEVELOPMENTS,LOOTING/PROPERTY DESTRUCTION,2,2,2024-02-02,2024,SOLE PERPETRATOR (UNITED STATES),,CIVILIANS (UNITED STATES),GOVERNMENT OF THE UNITED STATES (2021-2025),FORT WAYNE,INDIANA,0,JOURNAL GAZETTE (FORT WAYNE),SUBNATIONAL,NO,"PROPERTY DESTRUCTION: ON 2 FEBRUARY 2024, AN UNIDENTIFIED INDIVIDUAL ENTERED THE ALLEN COUNTY COURTHOUSE IN FORT WAYNE (INDIANA) AND BROKE SEVERAL DOORS WITH A SLEDGEHAMMER.",LOCAL ADMINISTRATORS
RIOTS,VIOLENT DEMONSTRATION,1,28,2024-01-28,2024,RIOTERS (UNITED STATES),NATIVE AMERICAN GROUP (UNITED STATES); PAIUTE-SHOSHONE TRIBAL GROUP (UNITED STATES),POLICE FORCES OF THE UNITED STATES (2021-2025) TRIBAL LAW ENFORCEMENT,CIVILIANS (UNITED STATES); NATIVE AMERICAN GROUP (UNITED STATES); PAIUTE-SHOSHONE TRIBAL GROUP (UNITED STATES),BIG PINE,CALIFORNIA,0,SIERRA WAVE,SUBNATIONAL,NO,"ON 28 JANUARY 2024, DEMONSTRATORS DISRUPTED A MEETING OF THE TRIBAL COUNCIL OF THE BIG PINE PAIUTE TRIBE OF THE OWENS VALLEY IN BIG PINE (CALIFORNIA) AS PART OF SUPPORT FOR AN ALTERNATIVE TRIBAL COUNCIL, FOLLOWING DISPUTES IN ELECTORAL PROCEDURE BETWEEN THE TWO GROUPS. THE ALTERNATIVE COUNCIL ALLEGEDLY ATTACKED TRIBAL POLICE AND BYSTANDERS WHEN TRIBAL POLICE ATTEMPTED TO REMOVE THEM.",CROWD SIZE=NO REPORT; LOCAL ADMINISTRATORS
STRATEGIC DEVELOPMENTS,LOOTING/PROPERTY DESTRUCTION,1,27,2024-01-27,2024,UNIDENTIFIED ARMED GROUP (UNITED STATES),,CIVILIANS (UNITED STATES),CATHOLIC CHRISTIAN GROUP (UNITED STATES),NEW YORK - BROOKLYN,NEW YORK,0,CBS NEWS,NATIONAL,YES,"PROPERTY DESTRUCTION: ON 27 JANUARY 2024, FOUR UNKNOWN INDIVIDUALS DAMAGED A STAINED-GLASS WINDOW AND A CRUCIFIX AT SAINT COLUMBIA CHURCH ON KIMBALL STREET IN MARINE PARK IN NEW YORK - BROOKLYN (NEW YORK). POLICE ARE INVESTIGATING THE INCIDENT AS A HATE CRIME.",
STRATEGIC DEVELOPMENTS,LOOTING/PROPERTY DESTRUCTION,1,23,2024-01-23,2024,SOLE PERPETRATOR (UNITED STATES),,CIVILIANS (UNITED STATES),JEWISH GROUP (UNITED STATES),SPRINGFIELD,MISSOURI,0,ANTI-DEFAMATION LEAGUE; KY3,SUBNATIONAL-NATIONAL,NO,"PROPERTY DESTRUCTION: ON 23 JANUARY 2024, AN UNKNOWN GROUP OR INDIVIDUAL SHATTERED WINDOWS AND RIPPED A SIGN FROM THE FRONT OF THE CHILDREN OF JACOB SYNAGOGUE IN SPRINGFIELD (MISSOURI).",
STRATEGIC DEVELOPMENTS,LOOTING/PROPERTY DESTRUCTION,1,21,2024-01-21,2024,SOLE PERPETRATOR (UNITED STATES),MILITARY FORCES OF THE UNITED STATES (2021-2025),CIVILIANS (UNITED STATES),LGBTQ+ (UNITED STATES),ARLINGTON,VIRGINIA,0,ARLINGTON NOW; WUSA9,SUBNATIONAL-NATIONAL,NO,"PROPERTY DESTRUCTION: ON 21 JANUARY 2024, A MAN TORE DOWN A PRIDE FLAG AND DAMAGED THE FLAGPOLE OUTSIDE OF THE HOME OF AN LGBTQ+ COUPLE IN ARLINGTON (VIRGINIA). THIS IS THE FOURTH FLAG THAT WAS TORN DOWN AT THIS HOUSE. AN ACTIVE DUTY SOLDIER WITH THE US ARMY WAS LATER CHARGED WITH PETIT LARCENY IN CONNECTION WITH THE THEFT.",
STRATEGIC DEVELOPMENTS,LOOTING/PROPERTY DESTRUCTION,1,7,2024-01-07,2024,SOLE PERPETRATOR (UNITED STATES),,CIVILIANS (UNITED STATES),JEWISH GROUP (UNITED STATES); LABOR GROUP (UNITED STATES),LOS ANGELES,CALIFORNIA,0,ANTI-DEFAMATION LEAGUE; KTLA5,SUBNATIONAL-NATIONAL,NO,"PROPERTY DESTRUCTION: ON 7 JANUARY 2024, AN UNKNOWN INDIVIDUAL THREW ROCKS WITH NOTES WRITTEN IN ARAMAIC THROUGH GLASS WINDOWS IN MULTIPLE JEWISH-OWNED STOREFRONT BUSINESSES IN LOS ANGELES (CALIFORNIA). POLICE ARE INVESTIGATING THE STRING OF VANDALISM AS A HATE CRIME. THESE INCIDENTS TOOK PLACE AMID THE ISRAEL-HAMAS WAR WHICH BEGAN IN OCTOBER 2023.",
STRATEGIC DEVELOPMENTS,LOOTING/PROPERTY DESTRUCTION,1,6,2024-01-06,2024,SOLE PERPETRATOR (UNITED STATES),,CIVILIANS (UNITED STATES),ISRAELI GROUP (UNITED STATES); LABOR GROUP (UNITED STATES),NEW YORK - MANHATTAN,NEW YORK,0,NEW YORK POST,SUBNATIONAL,YES,"PROPERTY DESTRUCTION: AROUND 6 JANUARY 2024 (WEEKEND OF), AN UNKNOWN INDIVIDUAL SHATTERED A GLASS DOOR OF AN ISRAELI RESTAURANT IN NEW YORK - MANHATTAN (NEW YORK). OVER THE SAME PERIOD OF TIME, GRAFFITI CALLING FOR 'FREE PALESTINE' APPEARED INSIDE AND INSIDE THE RESTAURANT. THIS INCIDENT TOOK PLACE AMID THE ISRAEL-HAMAS WAR WHICH BEGAN IN OCTOBER 2023.",
RIOTS,VIOLENT DEMONSTRATION,1,6,2024-01-06,2024,RIOTERS (UNITED STATES),,PROTESTERS (UNITED STATES),,EL CERRITO,CALIFORNIA,0,ANTI-DEFAMATION LEAGUE; CONTRA COSTA NEWS; J. THE JEWISH NEWS OF NORTHERN CALIFORNIA; KPIX5; KTVU FOX2,SUBNATIONAL-NATIONAL,NO,"ON 6 JANUARY 2024, APPROXIMATELY 100 PRO-PALESTINIAN DEMONSTRATORS BLOCKED THE INTERSECTION OF SAN PABLO AVENUE AND CARLSON BOULEVARD IN EL CERRITO (CALIFORNIA) TO DEMAND A CEASEFIRE IN GAZA. SOME WORE KEFFIYEHS, A SYMBOL OF SUPPORT FOR PALESTINE AMID THE ISRAEL-HAMAS WAR WHICH BEGAN IN OCTOBER 2023. THEY WERE MET BY A SMALL GROUP OF PRO-ISRAEL COUNTER-DEMONSTRATORS HOLDING ISRAELI FLAGS. ONE PRO-PALESTINIAN DEMONSTRATOR PUSHED A COUNTER-DEMONSTRATOR TO THE GROUND AND BURNED THEIR ISRAELI FLAG. POLICE ARE INVESTIGATING THE INCIDENT AS A HATE CRIME. A SUSPECT WAS ARRESTED ON FEBRUARY 28.",COUNTER-DEMONSTRATION; CROWD SIZE=APPROXIMATELY 100
VIOLENCE AGAINST CIVILIANS,ATTACK,1,4,2024-01-04,2024,SOLE PERPETRATOR (UNITED STATES),,CIVILIANS (UNITED STATES),STUDENTS (UNITED STATES); LABOR GROUP (UNITED STATES),PERRY,IOWA,3,KCCI8 NEWS; KCEN; KGLO NEWS; NEW YORK TIMES,SUBNATIONAL-NATIONAL,YES,"ON 4 JANUARY 2024, A 17-YEAR-OLD STUDENT, ARMED WITH A SHOTGUN AND A HANDGUN, SHOT AND KILLED ANOTHER STUDENT AND A STUDENT ADMINISTRATOR AND INJURED 4 OTHER PEOPLE AT PERRY HIGH SCHOOL IN PERRY (IOWA). THE PERPETRATOR SHOT THE VICTIMS DURING A BREAKFAST PROGRAM BEFORE THE SCHOOL DAY BEGAN. THERE WAS ALSO A 'RUDIMENTARY IMPROVISED EXPLOSIVE' FOUND AT THE SCENE, WHICH WAS DISABLED WITHOUT CAUSING ADDITIONAL HARM. POLICE OFFICERS FOUND AND DISABLED THE DEVICE. THE FOUR NONLETHAL INJURIES WERE STUDENTS. THE PERPETRATOR SHOT HIMSELF AND DIED. THE MOTIVE IS CURRENTLY UNKNOWN. 3 FATALITIES.",
STRATEGIC DEVELOPMENTS,LOOTING/PROPERTY DESTRUCTION,1,4,2024-01-04,2024,SOLE PERPETRATOR (UNITED STATES),,CIVILIANS (UNITED STATES),MUSLIM GROUP (UNITED STATES),GAINESVILLE,FLORIDA,0,INDEPENDENT FLORIDA ALLIGATOR,SUBNATIONAL,NO,"PROPERTY DESTRUCTION: ON 4 JANUARY 2024, THE ISLAMIC COMMUNITY CENTER OF GAINESVILLE WAS VANDALIZED IN GAINESVILLE (FLORIDA) WHEN AN UNKNOWN PERPETRATOR(S) THREW THREE LARGE ROCKS THROUGH SEVERAL WINDOWS, BREAKING THEM.",
